40;1,139498;
80;4,204739;
120;9,283437;
160;16,228921;
200;25,090466;
240;35,912645;
280;48,800568;
320;63,760810;
360;80,333138;
400;99,436555;
440;120,253238;
480;146,383109;
520;167,565143;
560;196,814658;
600;224,087855;
640;252,786639;
680;285,767180;
720;320,062298;
760;356,120808;
800;396,593399;
840;443,551936;
880;483,979542;
920;525,051577;
960;568,190955;
1000;617,151279;
1040;668,451911;
1080;736,059514;
1120;790,332907;
1160;832,881163;
1200;893,835325;
1240;947,250103;
1280;1009,448113;
1320;1104,214276;
1360;1137,384958;
1400;1206,306841;
1440;1301,819061;
1480;1350,931597;
1520;1450,179415;
1560;1543,325303;
1600;1596,216212;
1640;1655,329899;
1680;1737,120120;
1720;1854,249883;
1760;1903,187634;
1800;1991,303636;
1840;2118,968533;
