OSU MPI Bandwidth Test v5.6.2
Size Bandwidth(MB/s)
1 4.28
2 8.69
4 17.39
8 34.42
16 61.07
32 123.55
64 203.14
128 351.54
256 605.93
512 1341.69
1024 2456.18
2048 4132.40
4096 1506.05
8192 2397.88
16384 3088.68
32768 4103.69
65536 4954.63
131072 5551.70
262144 5911.43
524288 6103.59
1048576 5891.34
2097152 5667.39
4194304 1604.92
