OSU MPI Latency Test v5.6.2
Size Latency(us)
0 0.41
1 0.46
2 0.46
4 0.46
8 0.46
16 0.48
32 0.48
64 0.52
128 0.56
256 0.59
512 0.88
1024 1.03
2048 1.32
4096 3.92
8192 4.84
16384 6.57
32768 9.18
65536 14.50
131072 24.93
262144 45.72
524288 89.98
1048576 183.35
2097152 1296.31
4194304 2897.01
