OSU MPI Bandwidth Test v5.6.2
Size Bandwidth(MB/s)
1 4.27
2 8.59
4 17.23
8 34.43
16 59.47
32 121.48
64 206.85
128 352.58
256 604.62
512 1314.27
1024 2406.15
2048 4087.87
4096 1498.97
8192 2365.27
16384 3044.90
32768 4070.65
65536 4900.97
131072 5523.30
262144 5895.37
524288 6082.82
1048576 6192.05
2097152 5920.32
4194304 1625.06
