OSU MPI Bandwidth Test v5.6.2
Size Bandwidth(MB/s)
1 4.29
2 8.67
4 17.29
8 34.53
16 60.97
32 122.04
64 207.34
128 350.13
256 604.66
512 1346.91
1024 2475.08
2048 4157.95
4096 1578.11
8192 2364.59
16384 3084.98
32768 4115.82
65536 4911.13
131072 5518.80
262144 5898.17
524288 6087.00
1048576 5799.86
2097152 5641.83
4194304 1593.64
