OSU MPI Latency Test v5.6.2
Size Latency(us)
0 0.41
1 0.45
2 0.45
4 0.45
8 0.46
16 0.48
32 0.48
64 0.52
128 0.55
256 0.59
512 0.87
1024 1.02
2048 1.31
4096 3.98
8192 4.87
16384 6.67
32768 9.26
65536 14.57
131072 24.98
262144 45.73
524288 87.28
1048576 180.26
2097152 1282.32
4194304 2894.38
