OSU MPI Bandwidth Test v5.6.2
Size Bandwidth(MB/s)
1 4.45
2 9.06
4 18.26
8 35.57
16 68.20
32 135.93
64 195.91
128 192.86
256 292.34
512 464.20
1024 640.39
2048 821.03
4096 1220.54
8192 1957.16
16384 2712.70
32768 3780.23
65536 4688.17
131072 5367.53
262144 5811.22
524288 6053.92
1048576 6176.05
2097152 6078.69
4194304 1642.56
