OSU MPI Latency Test v5.6.2
Size Latency(us)
0 0.66
1 0.73
2 0.73
4 0.73
8 0.73
16 0.87
32 0.87
64 0.97
128 1.22
256 1.48
512 2.18
1024 3.01
2048 4.71
4096 4.90
8192 5.86
16384 7.65
32768 10.26
65536 15.54
131072 27.63
262144 49.98
524288 92.10
1048576 181.15
2097152 369.17
4194304 2578.18
