OSU MPI Latency Test v5.6.2
Size Latency(us)
0 0.64
1 0.72
2 0.72
4 0.72
8 0.72
16 0.87
32 0.86
64 0.97
128 1.21
256 1.46
512 2.18
1024 2.99
2048 4.77
4096 4.90
8192 5.91
16384 7.65
32768 10.23
65536 15.55
131072 25.98
262144 48.47
524288 91.71
1048576 182.21
2097152 373.72
4194304 2581.39
