OSU MPI Bandwidth Test v5.6.2
Size Bandwidth(MB/s)
1 4.48
2 9.19
4 18.26
8 36.62
16 65.20
32 134.21
64 192.65
128 188.36
256 286.55
512 461.38
1024 640.57
2048 819.32
4096 1231.55
8192 2023.60
16384 2746.75
32768 3786.72
65536 4700.54
131072 5378.82
262144 5814.12
524288 6047.84
1048576 6178.24
2097152 6046.86
4194304 1627.62
