OSU MPI Bandwidth Test v5.6.2
Size Bandwidth(MB/s)
1 4.46
2 9.31
4 18.58
8 37.18
16 68.18
32 136.68
64 194.81
128 191.76
256 289.52
512 457.90
1024 633.06
2048 814.97
4096 1214.07
8192 1986.00
16384 2717.45
32768 3767.91
65536 4685.18
131072 5357.39
262144 5706.56
524288 5668.31
1048576 5586.81
2097152 5509.02
4194304 1607.27
