OSU MPI Latency Test v5.6.2
Size Latency(us)
0 0.63
1 0.69
2 0.68
4 0.69
8 0.69
16 0.83
32 0.83
64 0.93
128 1.16
256 1.41
512 2.07
1024 2.91
2048 4.66
4096 4.74
8192 5.79
16384 7.59
32768 10.23
65536 15.67
131072 26.12
262144 49.37
524288 94.18
1048576 182.96
2097152 367.03
4194304 2594.23
