10;2;0.025861;
20;2;0.052092;
20;12;0.251430;
30;2;0.104414;
30;12;0.342283;
30;22;0.575032;
40;2;0.148987;
40;12;0.637168;
40;22;0.981926;
40;32;1.495065;
50;2;0.213290;
50;12;0.899459;
50;22;1.284677;
50;32;1.803930;
50;42;2.164775;
60;2;0.308877;
60;12;1.126732;
60;22;1.762827;
60;32;2.630178;
60;42;3.388104;
60;52;4.336309;
70;2;0.404722;
70;12;1.594910;
70;22;2.546454;
70;32;3.554681;
70;42;4.607404;
70;52;5.700261;
70;62;6.867574;
80;2;0.540554;
80;12;2.249286;
80;22;3.620522;
80;32;5.522285;
80;42;6.773888;
80;52;8.420007;
80;62;9.480558;
80;72;10.086488;
90;2;0.691598;
90;12;2.402107;
90;22;3.700776;
90;32;5.582484;
90;42;7.289797;
90;52;9.360884;
90;62;10.689581;
90;72;13.025540;
90;82;14.211027;
100;2;0.832457;
100;12;3.383006;
100;22;5.778900;
100;32;8.129615;
100;42;10.155158;
100;52;12.341657;
100;62;14.056150;
100;72;17.014453;
100;82;17.019285;
100;92;18.447078;
110;2;0.987286;
110;12;4.079788;
110;22;7.032616;
110;32;9.338972;
110;42;12.041059;
110;52;14.214815;
110;62;16.642936;
110;72;19.799691;
110;82;21.729388;
110;92;22.716586;
110;102;24.792357;
120;2;1.212511;
120;12;4.791611;
120;22;8.123368;
120;32;11.478263;
120;42;14.961314;
120;52;18.198818;
120;62;20.230295;
120;72;23.740373;
120;82;25.728256;
120;92;27.654246;
120;102;29.530897;
120;112;33.356139;
130;2;1.375317;
130;12;5.521299;
130;22;9.449328;
130;32;14.450756;
130;42;16.886329;
130;52;20.034683;
130;62;24.381983;
130;72;28.030855;
130;82;32.045932;
130;92;36.439794;
130;102;37.625004;
130;112;39.928170;
130;122;41.305545;
140;2;1.641242;
140;12;6.631431;
140;22;11.199571;
140;32;15.193586;
