OSU_MPI_Bandwidth_Test_v5.6.2
Size Bandwidth(MB/s)
1 4.18
2 8.38
4 17.03
8 33.37
16 59.17
32 120.48
64 207.41
128 355.03
256 607.45
512 1349.20
1024 2479.41
2048 4137.88
4096 1542.35
8192 2394.59
16384 3115.74
32768 4158.30
65536 4983.77
131072 5565.67
262144 5913.10
524288 5908.09
1048576 5712.61
2097152 5604.62
4194304 1606.96
