OSU MPI Bandwidth Test v5.6.2
Size Bandwidth(MB/s)
1 4.26
2 8.60
4 17.29
8 34.28
16 60.60
32 123.22
64 206.85
128 356.63
256 613.28
512 1342.86
1024 2452.03
2048 4145.33
4096 1500.39
8192 2345.64
16384 3107.32
32768 4133.95
65536 4957.50
131072 5548.70
262144 5897.01
524288 6108.01
1048576 6111.27
2097152 5746.82
4194304 1599.93
