OSU MPI Bandwidth Test v5.6.2
Size Bandwidth(MB/s)
1 4.18
2 8.51
4 17.17
8 33.68
16 59.82
32 120.93
64 207.27
128 354.63
256 608.06
512 1337.03
1024 2467.89
2048 4167.39
4096 1536.68
8192 2377.91
16384 3088.54
32768 4130.22
65536 4949.58
131072 5531.75
262144 5915.13
524288 6121.77
1048576 5803.59
2097152 5640.84
4194304 1607.73
