OSU MPI Bandwidth Test v5.6.2
Size Bandwidth(MB/s)
1 4.16
2 8.40
4 16.92
8 33.24
16 59.24
32 117.65
64 205.23
128 359.65
256 616.35
512 1351.10
1024 2481.68
2048 4174.34
4096 1536.35
8192 2395.38
16384 3142.66
32768 4146.40
65536 4966.16
131072 5565.99
262144 5907.73
524288 6104.59
1048576 6199.45
2097152 5913.40
4194304 1622.26
