OSU MPI Bandwidth Test v5.6.2
Size Bandwidth(MB/s)
1 4.17
2 8.44
4 16.95
8 33.62
16 59.35
32 121.62
64 206.82
128 353.04
256 607.56
512 1347.47
1024 2474.83
2048 4173.56
4096 1529.19
8192 2439.74
16384 3131.67
32768 4142.14
65536 4972.30
131072 5572.61
262144 5932.09
524288 6121.00
1048576 6215.67
2097152 5862.03
4194304 1673.89
