OSU MPI Latency Test v5.6.2
Size Latency(us)
0 0.42
1 0.48
2 0.48
4 0.48
8 0.48
16 0.50
32 0.50
64 0.55
128 0.58
256 0.62
512 0.89
1024 1.04
2048 1.36
4096 4.02
8192 5.00
16384 6.74
32768 9.35
65536 14.80
131072 25.22
262144 46.35
524288 91.21
1048576 186.15
2097152 1322.48
4194304 2901.41
